time,cpu,net_in,net_out,batt,net_in_wx,net_out_wx,net_in_qq,net_out_qq,fps,mem_vss,mem_rss,mem_pss,mem_uss,mem_native,mem_dalvik,mem_pss_total,batt_voltage,temperature,timeindex
2016-11-13 12:36:34,1,0,0,0,0,0,0,0,0,0,0,0,0,4.6103515625,5.9267578125,73.96484375,0,0,0
2016-11-13 12:36:35,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0400390625,1.5029296875,68.4423828125,0,0,0
2016-11-13 12:36:36,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8212890625,1.4873046875,67.9375,0,0,0
2016-11-13 12:36:38,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4208984375,1.1943359375,65.8212890625,0,0,0
2016-11-13 12:36:39,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3662109375,1.1806640625,65.6982421875,0,0,0
2016-11-13 12:36:40,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4287109375,1.1806640625,73.7451171875,0,0,0
2016-11-13 12:36:41,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8623046875,1.6416015625,75.0185546875,0,0,0
2016-11-13 12:36:43,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8544921875,1.6416015625,75.0107421875,0,0,0
2016-11-13 12:36:44,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8623046875,1.6416015625,75.0185546875,0,0,0
2016-11-13 12:36:45,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8623046875,1.6416015625,75.0185546875,0,0,0
2016-11-13 12:36:47,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8701171875,1.6416015625,75.01953125,0,0,0
2016-11-13 12:36:48,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9404296875,1.6416015625,75.10546875,0,0,0
2016-11-13 12:36:49,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9404296875,1.6416015625,75.103515625,0,0,0
2016-11-13 12:36:51,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5986328125,74.9765625,0,0,0
2016-11-13 12:36:52,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5595703125,74.921875,0,0,0
2016-11-13 12:36:54,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8740234375,1.5478515625,74.890625,0,0,0
2016-11-13 12:36:55,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.7724609375,0,0,0
2016-11-13 12:36:56,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.7890625,0,0,0
2016-11-13 12:36:58,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.7890625,0,0,0
2016-11-13 12:36:59,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8056640625,1.5166015625,74.787109375,0,0,0
2016-11-13 12:37:00,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.7890625,0,0,0
2016-11-13 12:37:02,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.7880859375,0,0,0
2016-11-13 12:37:03,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.78515625,0,0,0
2016-11-13 12:37:05,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.66796875,0,0,0
2016-11-13 12:37:06,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8076171875,1.5166015625,74.7880859375,0,0,0
2016-11-13 12:37:07,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8154296875,1.5166015625,74.7978515625,0,0,0
2016-11-13 12:37:09,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8154296875,1.5166015625,74.7978515625,0,0,0
2016-11-13 12:37:10,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8154296875,1.5166015625,74.7744140625,0,0,0
2016-11-13 12:37:11,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8154296875,1.5166015625,74.796875,0,0,0
2016-11-13 12:37:13,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8193359375,1.5166015625,74.8046875,0,0,0
2016-11-13 12:37:14,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8095703125,1.5166015625,74.79296875,0,0,0
2016-11-13 12:37:15,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8154296875,1.5166015625,74.80078125,0,0,0
2016-11-13 12:37:17,3,0,0,0,0,0,0,0,0,0,0,0,0,3.7685546875,1.5126953125,74.740234375,0,0,0
2016-11-13 12:37:18,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8427734375,1.5126953125,74.9365234375,0,0,0
2016-11-13 12:37:19,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8857421875,1.5126953125,74.970703125,0,0,0
2016-11-13 12:37:21,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8857421875,1.5126953125,74.970703125,0,0,0
2016-11-13 12:37:22,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8857421875,1.5126953125,74.970703125,0,0,0
2016-11-13 12:37:23,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8857421875,1.5126953125,74.970703125,0,0,0
2016-11-13 12:37:25,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8857421875,1.5126953125,74.970703125,0,0,0
2016-11-13 12:37:26,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8857421875,1.5126953125,74.970703125,0,0,0
2016-11-13 12:37:27,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.974609375,0,0,0
2016-11-13 12:37:29,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.974609375,0,0,0
2016-11-13 12:37:30,3,0,0,0,0,0,0,0,0,0,0,0,0,3.87890625,1.5126953125,74.962890625,0,0,0
2016-11-13 12:37:31,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.974609375,0,0,0
2016-11-13 12:37:33,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.97265625,0,0,0
2016-11-13 12:37:34,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5126953125,74.97265625,0,0,0
2016-11-13 12:37:35,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:37,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:38,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:40,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:41,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5126953125,74.98046875,0,0,0
2016-11-13 12:37:42,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:44,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:45,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:46,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:48,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8955078125,1.5244140625,74.998046875,0,0,0
2016-11-13 12:37:49,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:50,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:52,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:53,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:55,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:56,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:57,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:37:59,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:00,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:01,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:03,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9033203125,1.5244140625,75.009765625,0,0,0
2016-11-13 12:38:04,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:05,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:07,4,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:08,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:09,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:11,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:12,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:13,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:15,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:16,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:17,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9052734375,1.5244140625,75.01171875,0,0,0
2016-11-13 12:38:19,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9169921875,1.5244140625,75.0234375,0,0,0
2016-11-13 12:38:20,3,0,0,0,0,0,0,0,0,0,0,0,0,3.9169921875,1.5244140625,75.0234375,0,0,0
2016-11-13 12:38:22,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75,0,0,0
2016-11-13 12:38:23,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8896484375,1.5244140625,75.0029296875,0,0,0
2016-11-13 12:38:24,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:26,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:27,4,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:28,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:30,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:31,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:32,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:34,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:35,3,0,0,0,0,0,0,0,0,0,0,0,0,3.8935546875,1.5244140625,75.0078125,0,0,0
2016-11-13 12:38:37,3,0,0,0,0,0,0,0,0,0,0,0,0,3.955078125,1.4423828125,83.0947265625,0,0,0
